stock no.,link,gross_profit_changes
00411,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00411,"10.46%, 10.54%, 2.08%, 3.39%"
00660,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00660,"566.81%, 6.37%, 20.05%, 215.85%"
00677,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00677,"13.97%, 12.84%, 9.15%, 34.99%"
00682,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00682,"-41.5%, -83.9%, -157.25%, -11.72%"
00875,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00875,"683.94%, 66.06%, 15.2%, -77.41%"
00969,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00969,"132.04%, -27.81%, -115.71%, -169.12%"
01006,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01006,"33.29%, 10.71%, -0.96%, -8.74%"
01340,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01340,"-34.81%, -74.38%, -125.85%, -101.17%"
01610,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01610,"-59.2%, 21.92%, -81.11%, 736.77%"
01699,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01699,"-0.13%, -24.56%, -43.76%, 81.12%"
01854,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01854,"36.13%, 27.13%, -1.42%, -56.26%"
01936,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01936,"61.41%, -19.67%"
03838,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03838,"40.29%, 24.63%, -28.47%, -20.34%"
03999,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03999,"6.54%, 8.14%, -6.82%, 29.1%"
06183,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=06183,"6.3%, -17.66%, -25.29%, -20.27%"
08269,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08269,"-26.07%, 57.17%, -20.54%, -1.7%"
08609,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08609,"26.58%, -10.77%, -41.73%, 97.44%"
09977,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=09977,"-45.64%, 379.81%, 140.68%"
00293,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00293,"-9.37%, 4.89%, 14.16%, -3.68%"
00670,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00670,"5.17%, 5.35%, 10.84%, 5.18%"
00753,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00753,"4.62%, 7.71%, 13.59%, -0.46%"
01055,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01055,"2.98%, 11.15%, 12.38%, 7.45%"
02588,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02588,"9.38%, 17.4%, 23.19%, 14.51%"
00357,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00357,"13.62%, 12.36%, 17.84%, -13.51%"
00694,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00694,"2.57%, 9.69%, 17.63%, -4.01%"
01848,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01848,"58.02%, 18.11%, 15.56%, 5.44%"
00168,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00168,"3.82%, -1.72%, -5.96%, 8.82%"
00236,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00236,"0.28%, 5.56%, 0.94%, 1.93%"
00291,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00291,"-10.59%, 3.68%, 11.66%, 9.18%"
00389,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00389,"-11.06%, -16.31%, 8.58%, -3.12%"
00472,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00472,"22.37%, -21.2%, -20.76%, -1.55%"
00828,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00828,"-11.92%, -12.35%, -6.35%, -16.13%"
00886,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00886,"75.33%, -44.99%, 3.37%, 33.23%"
01389,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01389,"-16.2%, 8.91%, -16.43%, -81.39%"
01876,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01876,"10.94%, -0.34%"
06055,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=06055,"1.14%, -24.57%, 12.31%"
08116,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08116,"17.38%, -31.17%, -76.67%"
08146,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08146,"-30.08%, 23.23%, -25.4%, 25.5%"
08301,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08301,"30.29%, 40.85%, -50.7%, -59.81%"
08509,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08509,"11.44%, 56.47%, 20.7%, -20.83%"
00182,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00182,"-88.21%, -24.31%, 120.92%, 29.38%"
00295,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00295,"57.13%, 173.56%, 36.38%, -2.04%"
00527,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00527,"19.6%, 22.11%, -18.69%, -19.01%"
00611,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00611,"21.56%, -3.81%, 14.9%, 28.49%"
00686,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00686,"68.55%, 44.59%, 32.53%, 8.89%"
00987,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00987,"-0.97%, 4.19%, 13.51%, 32.22%"
01004,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01004,"-101.62%, -4968.57%, -59.67%, 27.99%"
01250,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01250,"532.88%, 221.29%, 11.33%, -0.87%"
01281,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01281,"115.41%, 280.58%, -6.39%, -67.73%"
01798,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01798,"4.74%, 22.31%, 17.52%, 1.18%"
01799,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01799,"24.48%, 24.9%, -3.28%, -23.95%"
03868,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03868,"15.0%, 8.72%, 35.06%"
08128,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08128,"-7.63%, 48.2%, -81.82%, 181.81%"
08246,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08246,"3.16%, -25.38%, 36.7%, -31.96%"
08326,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08326,"109.82%, -18.39%, -20.43%, -45.67%"
00036,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00036,"4989.13%, 3.08%, 1.95%, 1466.91%"
00113,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00113,"-12.11%, 6.91%, 18.3%, -38.26%"
00122,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00122,"-25.83%, -9.5%, 6.73%, -9.5%"
00128,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00128,"-16.0%, -0.7%, -6.72%, -4.51%"
00130,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00130,"-13.75%, 1.0%, -7.47%, -28.36%"
00311,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00311,"-2.9%, -16.55%, 7.7%, 11.57%"
00330,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00330,"-7.83%, -3.75%, -24.58%, -31.25%"
00333,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00333,"-2.54%, 12.01%, -13.84%, -8.95%"
00375,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00375,"-17.42%, -18.64%, -31.69%, -42.13%"
00393,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00393,"-51.57%, -69.48%, -10.77%, -10.78%"
00483,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00483,"-8.38%, 3.17%, -14.04%, -26.34%"
00533,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00533,"-4.66%, 4.92%, 7.9%, -6.56%"
00592,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00592,"-7.54%, 1.28%, -26.0%, -30.36%"
